"Name","Distance (LY)","Controlling Faction","Needs Permit"
"V2613 Orionis","48.8756493722846","","false"
"Running Man Sector EB-X c1-7","48.9137074985121","","false"
"Running Man Sector BV-Y c5","48.9615402318493","","false"
"V1978 Orionis","49.0524770813106","","false"
"Running Man Sector KH-V c2-1","49.0648984286373","","false"
"V2214 Orionis","49.083922472766","","false"
"Running Man Sector JR-W c1-7","49.1090145747194","","false"
"V2620 Orionis","49.1117189426312","","false"
"V556 Orionis","49.2384781890647","","false"
"HR 1891","49.2427619998615","","false"
"V416 Orionis","49.3148664672987","","false"
"V1492 Orionis","49.32973597702","","false"
"2MASS J05365384-0620536","49.36180599031","","false"
"2MASS J05332639-0516406","49.484056775895","","false"
"2MASS J05365073-0537473","49.4871353232332","","false"
"Running Man Sector DL-Y d14","49.5195175379112","","false"
"Running Man Sector DL-Y d11","49.5282629225476","","false"
"V474 Orionis","49.6921184960452","","false"
"V2056 Orionis","49.7304256403964","","false"
"Running Man Sector GW-W c1-12","49.7629733398739","","false"
"2MASS J05351836-0524267","49.8129901167858","","false"
"V419 Orionis","49.8437010187847","","false"
"2MASS J05351576-0450543","49.8902114960941","","false"
"2MASS J05351559-0524181","49.9782472212912","","false"
