"Name","Distance (LY)","Controlling Faction","Needs Permit"
"V1913 Orionis","33.9991239547065","","false"
"MY Orionis","34.0094914371341","","false"
"V490 Orionis","34.0203437528562","","false"
"V1282 Orionis","34.051732816591","","false"
"2MASS J05370032-0525085","34.0550593937597","","false"
"V407 Orionis","34.0843823060871","","false"
"2MASS J05350792-0420140","34.1075390309826","","false"
"2MASS J05343190-0526368","34.123139830253","","false"
"2MASS J05342099-0524485","34.1694136344919","","false"
"V1615 Orionis","34.169813752419","","false"
"2MASS J05341934-0550260","34.176272150792","","false"
"V1759 Orionis","34.1856289478854","","false"
"2MASS J05350753-0445550","34.2393630836644","","false"
"V1672 Orionis","34.3359579422578","","false"
"JW 392","34.3478017400677","","false"
"2MASS J05344118-0554372","34.3581066443933","","false"
"2MASS J05344828-0532351","34.3845725307877","","false"
"V1714 Orionis","34.4358268649818","","false"
"2MASS J05352135-0523454","34.468934156353","","false"
"Parenago 2909","34.4867501730737","","false"
"2MASS J05350644-0522075","34.500962395997","","false"
"McDivitt","34.5192145315475","","false"
"2MASS J05352025-0525037","34.5200066537508","","false"
"2MASS J05351998-0518466","34.5578093562077","","false"
"Running Man Sector GB-X c1-8","34.5927760703011","","false"
"OW94 183-439","34.6256063800694","","false"
"V1427 Orionis","34.6345175321889","","false"
"V2657 Orionis","34.6711954924401","","false"
"V1596 Orionis","34.7015877923835","","false"
"COUP J053514.3-052204","34.725176610422","","false"
"Parenago 2149","34.7495082024552","","false"
"2MASS J05344083-0528095","34.7659164313628","","false"
"2MASS J05333019-0522574","34.787454522967","","false"
"V824 Orionis","34.7944578471199","","false"
"2MASS J05333443-0514177","34.8038869506697","","false"
"2MASS J05363299-0602297","34.8632792804621","","false"
"V1976 Orionis","35.0243776711307","","false"
"2MASS J05352121-0533175","35.0504797800615","","false"
"Running Man Sector JR-W c1-8","35.0517613902996","","false"
"Parenago 1662","35.0814482000458","","false"
"V1704 Orionis","35.0843013771829","","false"
"V1949 Orionis","35.0954195951908","","false"
"V1579 Orionis","35.1202315491014","","false"
"V1484 Orionis","35.1280164407628","","false"
"V1328 Orionis","35.133687204199","","false"
"2MASS J05351356-0527573","35.1414830097564","","false"
"V564 Orionis","35.1648184002847","","false"
"2MASS J05362183-0554067","35.1667345477228","","false"
"V2490 Orionis","35.1842666143192","","false"
"OX Orionis","35.2015680137263","","false"
"V2281 Orionis","35.2188193211385","","false"
"V2647 Orionis","35.2398450576546","","false"
"Running Man Sector CQ-Y d18","35.2503740006755","","false"
"V1664 Orionis","35.258947224428","","false"
"Orion's Reach","35.2600550818486","","false"
"2MASS J05344172-0536488","35.332378254584","","false"
"V1274 Orionis","35.4878390262073","","false"
"Running Man Sector DL-Y d16","35.5150853731552","","false"
"H97b 434","35.533586114935","","false"
"2MASS J05353417-0622577","35.5360320001052","","false"
"2MASS J05343787-0442384","35.5474347483401","","false"
"Running Man Sector GB-X c1-5","35.5692271756781","","false"
"EQ J0534-0530","35.581579899226","","false"
"Running Man Sector XU-O b6-0","35.6228754848973","","false"
"V412 Orionis","35.6420463603032","","false"
"2MASS J05345368-0545111","35.7204587299072","","false"
"2MASS J05344811-0522385","35.7306820621297","","false"
"V2434 Orionis","35.7566236215404","","false"
"2MASS J05341474-0619181","35.8029955756149","","false"
"V1750 Orionis","35.8269222704798","","false"
"Running Man Sector CQ-Y d23","35.8435320394419","","false"
"V2139 Orionis","35.8549323228339","","false"
"V1754 Orionis","35.8738294669666","","false"
"2MASS J05352547-0521349","35.9101798328134","","false"
"V826 Orionis","35.9207161894428","","false"
"V2360 Orionis","35.9839645276198","","false"
"Running Man Sector GB-X c1-9","36.0333775390956","","false"
"V1428 Orionis","36.0359114504198","","false"
"2MASS J05352433-0526003","36.0397187575736","","false"
"V390 Orionis","36.0420896531056","","false"
"Richards Gap","36.0474540753227","","false"
"2MASS J05351587-0520404","36.0574899032781","","false"
"2MASS J05353554-0506585","36.0642195213968","","false"
"V1482 Orionis","36.0721661655493","","false"
"Running Man Sector GB-X c1-11","36.1567361678637","","false"
"2MASS J05352145-0509036","36.1918984805301","","false"
"V2107 Orionis","36.2360425715889","","false"
"Copernicus","36.2633865369052","","false"
"V2379 Orionis","36.4250756047602","","false"
"V1237 Orionis","36.4776660052079","","false"
"Running Man Sector EB-X c1-2","36.4779471050661","","false"
"V1660 Orionis","36.4835954145832","","false"
"2MASS J05343569-0529520","36.5031302168047","","false"
"V2658 Orionis","36.5468582994831","","false"
"V484 Orionis","36.5511601004332","","false"
"OT Orionis","36.5581995334152","","false"
"Haro 4-44","36.566105591449","","false"
"2MASS J05352017-0523085","36.5821795328682","","false"
"Cernan","36.6077844564855","","false"
"V2534 Orionis","36.6544783246195","","false"
"V788 Orionis","36.6633491633675","","false"
"IX Orionis","36.6973075689825","","false"
"2MASS J05351681-0539169","36.7264353659255","","false"
"LV Orionis","36.8150068119307","","false"
"Running Man Sector GW-W c1-4","36.8233881393674","","false"
"Parenago 1220","36.8562452306254","","false"
"2MASS J05352321-0528339","36.8676237325855","","false"
"2MASS J05350461-0524424","36.8826528075869","","false"
"2MASS J05361033-0542270","36.9185521409968","","false"
"2MASS J05345826-0450517","36.9364953332067","","false"
"Running Man Sector FW-W d1-13","37.0206999739673","","false"
"V1228 Orionis","37.0555563689509","","false"
"Running Man Sector GW-W c1-15","37.0566236909813","","false"
"2MASS J05345156-0528275","37.0672161839138","","false"
"V2646 Orionis","37.1025947753321","","false"
"2MASS J05351853-0518205","37.1073453392317","","false"
"V1724 Orionis","37.1101611758828","","false"
"V1173 Orionis","37.1266440082119","","false"
"2MASS J05351695-0545558","37.1711098334446","","false"
"2MASS J05345343-0457328","37.1817879016394","","false"
"V2288 Orionis","37.240744445768","","false"
"2MASS J05352998-0534317","37.2577985754325","","false"
"V1765 Orionis","37.2901157731509","","false"
"2MASS J05350435-0600531","37.3233600192292","","false"
"BD-05 1299","37.3325035366301","","false"
"V581 Orionis","37.420919220571","","false"
"2MASS J05334357-0532257","37.4354783469171","","false"
"V808 Orionis","37.45425595393","","false"
"2MASS J05353409-0432370","37.5076164140365","","false"
"2MASS J05345087-0532029","37.5085537119535","","false"
"V2500 Orionis","37.5715203395471","","false"
"V982 Orionis","37.6027368726334","","false"
"V2488 Orionis","37.6047235646667","","false"
"V2410 Orionis","37.6187832280963","","false"
"Roberto's Star","37.6314882279455","","false"
"2MASS J05335972-0506399","37.6890287832547","","false"
"V2012 Orionis","37.6985757978667","","false"
"2MASS J05342675-0541573","37.6999616627789","","false"
"IP Orionis","37.7032253676658","","false"
"2MASS J05345939-0607229","37.801948424486","","false"
"2MASS J05351826-0529538","37.8128228292004","","false"
"2MASS J05345559-0555293","37.8355430820346","","false"
"V379 Orionis","37.8854796764209","","false"
"2MASS J05352522-0529516","37.9123294795044","","false"
"V1897 Orionis","37.9215627562341","","false"
"2MASS J05351640-0458020","37.9348485482017","","false"
"2MASS J05351674-0528372","37.9923152180148","","false"
"V1523 Orionis","38.003045211042","","false"
"Running Man Sector BQ-Y d18","38.0151208608167","","false"
"2MASS J05352225-0518087","38.0574324418043","","false"
"Running Man Sector GB-X c1-6","38.0701064854368","","false"
"2MASS J05344553-0530568","38.0768779289019","","false"
"Archer's Wish","38.1601912378921","","false"
"V1612 Orionis","38.1604599438345","","false"
"2MASS J05344833-0630268","38.1825641245451","","false"
"V2207 Orionis","38.2849232931516","","false"
"2MASS J05352693-0524480","38.418198914219","","false"
"Running Man Sector GW-W c1-10","38.5453010673804","","false"
"2MASS J05363949-0519196","38.5514190927195","","false"
"V1586 Orionis","38.5681342115807","","false"
"2MASS J05351091-0522463","38.5719194330539","","false"
"V1700 Orionis","38.5919533994782","","false"
"V2133 Orionis","38.6275535159166","","false"
"2MASS J05351789-0532495","38.6343283638398","","false"
